Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,GA4 Sessions,GA4 Views,GA4 Engaged sessions,GA4 Engagement rate,GA4 Event count,GA4 Average session duration,GA4 Bounce rate,GA4 Total users,GA4 New users,Clicks,Impressions,CTR,Position,URL Inspection API Status,URL Inspection API Error,Summary,Coverage,Last Crawl,Days Since Last Crawled,Crawled As,Crawl Allowed,Page Fetch,Indexing Allowed,User-Declared Canonical,Google-Selected Canonical,Mobile Usability,Mobile Usability Issues,AMP Results,AMP Issues,Rich Results,Rich Results Types,Rich Results Type Errors,Rich Results Type Warnings,URL Encoded Address,Crawl Timestamp
https://fcc-na.com/category/production/page/2/#main,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,Production Archives | Page 2 of 2 | F.C.C,41,357,,0,0,,,Production,10,Mastering the Art of Assembly Line Production,45,46,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://fcc-na.com/category/production/page/2/,,https://fcc-na.com/category/production/,,,,,,1067,386,2.764,46.009,Hard,,6,4,,2,2,0,0.7,85,36,0,75,38,0,,,124,31,,0.094,,,,,1.1,,,,,,,,,,,,,,Success,,URL is not on Google,URL is unknown to Google,N/A,N/A,,N/A,Unknown,N/A,N/A,N/A,N/A,,N/A,,N/A,,,,https://fcc-na.com/category/production/page/2/#main,11/21/2024 11:25
https://fcc-na.com/wp-content/uploads/2023/08/li_img02-2-1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.288,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/08/li_img02-2-1.jpg,11/21/2024 11:25
https://fcc-na.com/wp-content/plugins/jet-tabs/assets/css/jet-tabs-frontend.css?ver=2.2.1,text/css,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,5,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.287,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/plugins/jet-tabs/assets/css/jet-tabs-frontend.css?ver=2.2.1,11/21/2024 11:21
https://fcc-na.com/us-overseas-locations/#elementor-action:action=popup:open&settings=eyJpZCI6IjE0NzciLCJ0b2dnbGUiOmZhbHNlfQ==,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,F.C.C | US and Overseas Locations,33,306,Explore FCC's global footprint across US and overseas locations. Discover how our international presence enables us to serve diverse markets and contribute to worldwide advancements in manufacturing and technology.,214,1356,,,US and Overseas Locations,25,Production base,15,18,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://fcc-na.com/us-overseas-locations/,,,,,,,,1459,560,2.605,53.778,Fairly Hard,,2,1,,29,29,0,10.21,114,59,0,77,38,0,,,192,47,,0.08,,,,,1.1,,,,,,,,,,,,,,Success,,URL is not on Google,URL is unknown to Google,N/A,N/A,,N/A,Unknown,N/A,N/A,N/A,N/A,,N/A,,N/A,,,,https://fcc-na.com/us-overseas-locations/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE0NzciLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,11/21/2024 11:22
https://fcc-na.com/2024/07/06/,text/html; charset=UTF-8,200,OK,Non-Indexable,noindex,"July 6, 2024 | F.C.C",20,167,,0,0,,,"Day: July 6, 2024",17,Exploring Rapid Prototyping in Aluminum Casting,47,47,"noindex, follow",,,,,,,,,,,1000,375,2.667,45.25,Hard,,4,3,,2,2,0,0.7,78,35,0,75,38,0,,,124,31,,0.08,,,,,1.1,,,,,,,,,,,,,,Success,,URL is not on Google,Excluded by ‘noindex’ tag,2024-08-11T23:59:54Z,101,Mobile user agent,Yes,Successful,No: 'noindex' detected in 'robots' meta tag,N/A,https://fcc-na.com/2024/07/06/,N/A,,N/A,,N/A,,,,https://fcc-na.com/2024/07/06/,11/21/2024 11:23
https://fcc-na.com/wp-content/uploads/2023/05/map-768x346.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.28,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/05/map-768x346.jpg,11/21/2024 11:21
https://fcc-na.com/wp-content/uploads/2024/04/Mechatronics-Demystified-Navigating-the-Interconnected-World.webp,image/webp,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,4,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.073,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2024/04/Mechatronics-Demystified-Navigating-the-Interconnected-World.webp,11/21/2024 11:24
https://fcc-na.com/wp-content/uploads/2024/05/Industial-internt-of-things.png,image/png,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,4,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.075,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2024/05/Industial-internt-of-things.png,11/21/2024 11:24
https://fcc-na.com/wp-content/uploads/2023/03/map-300x135.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,1,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.286,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/03/map-300x135.jpg,11/21/2024 11:20
https://fcc-na.com/papermaking-and-new-materials-technology/,text/html; charset=UTF-8,200,OK,Indexable,,F.C.C | Papermaking and New Materials Technology,48,460,"FCC advances in papermaking and new materials technology, pushing boundaries in sustainability and innovation. Learn how we're crafting the future with eco-friendly materials and state-of-the-art manufacturing processes.",220,1383,,,Papermaking and New Materials Technology,40,ABOUT OUR TECHNOLOGY,20,53,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://fcc-na.com/papermaking-and-new-materials-technology/,,,,,,,,2411,647,3.726,37.642,Hard,,1,1,,872,284,0,100,73,32,0,75,38,0,,,134,34,,0.289,,,,,1.1,15,22,6,0.4,58,0:01:34,0.6,14,8,10,501,0.02,28.3,Success,,URL is on Google,Submitted and indexed,2024-11-11T05:56:41Z,10,Mobile user agent,Yes,Successful,Yes,https://fcc-na.com/papermaking-and-new-materials-technology/,https://fcc-na.com/papermaking-and-new-materials-technology/,N/A,,N/A,,Valid,"Sitelinks searchbox, Breadcrumbs",,,https://fcc-na.com/papermaking-and-new-materials-technology/,11/21/2024 11:19
